file,rows,columns,null_values,duplicate_rows,column_names
01_fund_master.csv,40,15,0,0,"amfi_code, fund_house, scheme_name, category, sub_category, plan, launch_date, benchmark, expense_ratio_pct, exit_load_pct, min_sip_amount, min_lumpsum_amount, fund_manager, risk_category, sebi_category_code"
02_nav_history.csv,46000,3,0,0,"amfi_code, date, nav"
03_aum_by_fund_house.csv,90,5,0,0,"date, fund_house, aum_lakh_crore, aum_crore, num_schemes"
04_monthly_sip_inflows.csv,48,6,12,0,"month, sip_inflow_crore, active_sip_accounts_crore, new_sip_accounts_lakh, sip_aum_lakh_crore, yoy_growth_pct"
05_category_inflows.csv,144,3,0,0,"month, category, net_inflow_crore"
06_industry_folio_count.csv,21,6,0,0,"month, total_folios_crore, equity_folios_crore, debt_folios_crore, hybrid_folios_crore, others_folios_crore"
07_scheme_performance.csv,40,19,0,0,"amfi_code, scheme_name, fund_house, category, plan, return_1yr_pct, return_3yr_pct, return_5yr_pct, benchmark_3yr_pct, alpha, beta, sharpe_ratio, sortino_ratio, std_dev_ann_pct, max_drawdown_pct, aum_crore, expense_ratio_pct, morningstar_rating, risk_grade"
08_investor_transactions.csv,32778,13,0,0,"investor_id, transaction_date, amfi_code, transaction_type, amount_inr, state, city, city_tier, age_group, gender, annual_income_lakh, payment_mode, kyc_status"
09_portfolio_holdings.csv,322,8,0,0,"amfi_code, stock_symbol, stock_name, sector, weight_pct, market_value_cr, current_price_inr, portfolio_date"
10_benchmark_indices.csv,8050,3,0,0,"date, index_name, close_value"
live_nav_118632_nippon_large_cap.csv,3316,9,3316,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
live_nav_119092_axis_bluechip.csv,3583,9,3583,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
live_nav_119551_sbi_bluechip.csv,3254,9,0,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
live_nav_120503_icici_bluechip.csv,3325,9,3325,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
live_nav_120841_kotak_bluechip.csv,3319,9,3319,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
live_nav_125497_hdfc_top_100_direct.csv,3109,9,3109,0,"date, nav, meta_fund_house, meta_scheme_type, meta_scheme_category, meta_scheme_code, meta_scheme_name, meta_isin_growth, meta_isin_div_reinvestment"
